Year,capacity,nb_WWTP,PE_bin,Pt_in,Pt_in_adj,NGL_in,NGL_in_adj,DBO5_in,DBO5_in_adj,DCO_in,DCO_in_adj,MES_in,MES_in_adj,Pt_out,Pt_out_adj,NGL_out,NGL_out_adj,DBO5_out,DBO5_out_adj,DCO_out,DCO_out_adj,MES_out,MES_out_adj,NGL_yield,Pt_yield,DBO5_yield,DCO_yield,MES_yield,N_P_ratio_in,N_P_ratio_out,DBO5_N_ratio_in,DBO5_N_ratio_out,DBO5_P_ratio_in,DBO5_P_ratio_out,DCO_N_ratio_in,DCO_N_ratio_out,DCO_P_ratio_in,DCO_P_ratio_out,DCO_DBO5_ratio_in,DCO_DBO5_ratio_out,Pt_PE_ratio_in,Pt_PE_ratio_out,NGL_PE_ratio_in,NGL_PE_ratio_out,DBO5_PE_ratio_in,DBO5_PE_ratio_out,DCO_PE_ratio_in,DCO_PE_ratio_out,MES_PE_ratio_in,MES_PE_ratio_out
2015,14.082,NA,> 100 000 PE,4.837345,4.837345,43.65035,43.65035,166.036675,166.036675,408.833215,408.833215,226.092315,226.092315,0.850085,0.850085,17.129085,17.129085,7.528855,7.528855,39.769305,39.769305,13.143285,13.143285,61,82,95,90,94,9.02,20.1,3.8,0.44,34.3,8.86,9.37,2.32,84.5,46.8,2.46,5.28,0.941,0.165,8.49,3.33,32.3,1.46,79.5,7.74,44,2.56
2016,14.082,NA,> 100 000 PE,4.5698,4.5698,41.391365,41.391365,163.602855,163.602855,397.04627,397.04627,223.9056,223.9056,0.79789,0.79789,16.048685,16.048685,7.918675,7.918675,38.667735,38.667735,13.792985,13.792985,61,83,95,90,94,9.06,20.1,3.95,0.493,35.8,9.92,9.59,2.41,86.9,48.5,2.43,4.88,0.889,0.155,8.05,3.12,31.8,1.54,77.2,7.52,43.6,2.68
2017,14.082,NA,> 100 000 PE,4.67273,4.67273,43.51749,43.51749,173.70058,173.70058,427.058395,427.058395,232.83058,232.83058,0.75993,0.75993,19.255575,19.255575,5.883435,5.883435,31.58783,31.58783,8.479315,8.479315,56,84,97,93,96,9.31,25.3,3.99,0.306,37.2,7.74,9.81,1.64,91.4,41.6,2.46,5.37,0.909,0.148,8.47,3.75,33.8,1.14,83.1,6.15,45.3,1.65
2018,14.082,NA,> 100 000 PE,4.49169,4.49169,42.08304,42.08304,168.28033,168.28033,417.071265,417.071265,224.7086,224.7086,0.769055,0.769055,14.25471,14.25471,6.659425,6.659425,31.31773,31.31773,8.77825,8.77825,66,83,96,92,96,9.37,18.5,4,0.467,37.5,8.66,9.91,2.2,92.9,40.7,2.48,4.7,0.874,0.15,8.19,2.77,32.7,1.3,81.1,6.09,43.7,1.71
2019,14.082,NA,> 100 000 PE,4.8399,4.8399,45.49141,45.49141,183.19715,183.19715,451.837515,451.837515,236.97187,236.97187,1.054485,1.054485,14.04301,14.04301,7.27518,7.27518,33.444585,33.444585,8.61911,8.61911,69,78,96,93,96,9.4,13.3,4.03,0.518,37.9,6.9,9.93,2.38,93.4,31.7,2.47,4.6,0.942,0.205,8.85,2.73,35.6,1.42,87.9,6.51,46.1,1.68
2020,14.082,NA,> 100 000 PE,4.68368,4.68368,43.549245,43.549245,172.304455,172.304455,435.779705,435.779705,239.541835,239.541835,0.86943,0.86943,14.58175,14.58175,7.417895,7.417895,35.5583,35.5583,10.33023,10.33023,67,81,96,92,96,9.3,16.8,3.96,0.509,36.8,8.53,10,2.44,93,40.9,2.53,4.79,0.911,0.169,8.47,2.84,33.5,1.44,84.8,6.92,46.6,2.01
2021,14.082,NA,> 100 000 PE,4.59462,4.59462,43.07438,43.07438,170.316665,170.316665,433.19441,433.19441,239.728715,239.728715,0.80446,0.80446,15.350075,15.350075,6.857255,6.857255,36.961725,36.961725,10.72297,10.72297,64,82,96,91,96,9.37,19.1,3.95,0.447,37.1,8.52,10.1,2.41,94.3,45.9,2.54,5.39,0.894,0.157,8.38,2.99,33.1,1.33,84.3,7.19,46.6,2.09
2001,12.6,4,> 100 000 PE,7.15,7.15,39.1,39.1,NA,NA,NA,NA,231,231,3.47,3.47,NA,NA,NA,NA,NA,NA,35,35,NA,52,NA,NA,85,5.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55,0.755,8.5,NA,NA,NA,NA,NA,50.2,7.61
2002,12.6,4,> 100 000 PE,5.29,5.29,31.8,31.8,NA,NA,NA,NA,231,231,2.52,2.52,NA,NA,NA,NA,NA,NA,35.3,35.3,NA,52,NA,NA,85,6.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,0.548,6.91,NA,NA,NA,NA,NA,50.2,7.68
2003,12.6,4,> 100 000 PE,6.53,6.53,43.1,43.1,NA,NA,NA,NA,233,233,2.63,2.63,NA,NA,NA,NA,NA,NA,31.1,31.1,NA,60,NA,NA,87,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42,0.572,9.37,NA,NA,NA,NA,NA,50.7,6.76
2004,12.6,4,> 100 000 PE,6.68,6.68,44.2,44.2,NA,NA,NA,NA,229,229,2.37,2.37,NA,NA,NA,NA,NA,NA,27.9,27.9,NA,64,NA,NA,88,6.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45,0.515,9.61,NA,NA,NA,NA,NA,49.8,6.07
2005,12.6,4,> 100 000 PE,6.1,6.1,44.2,44.2,174,174,408,408,237,237,2.26,2.26,NA,NA,15.5,15.5,75.4,75.4,24.1,24.1,NA,63,91,81,90,7.25,NA,3.94,NA,28.5,6.86,9.23,NA,66.9,33.4,2.34,4.86,1.33,0.491,9.61,NA,37.8,3.37,88.7,16.4,51.5,5.24
2006,12.6,4,> 100 000 PE,6.35,6.35,43.4,43.4,172,172,410,410,238,238,1.79,1.79,NA,NA,17.4,17.4,74.2,74.2,25.1,25.1,NA,72,90,82,89,6.83,NA,3.96,NA,27.1,9.72,9.45,NA,64.6,41.5,2.38,4.26,1.38,0.389,9.44,NA,37.4,3.78,89.1,16.1,51.8,5.46
2007,12.9,5,> 100 000 PE,5.99,5.99,44.3,44.3,171,171,414,414,258,258,1.68,1.68,31.2,31.2,13.9,13.9,62.9,62.9,20,20,30,72,92,85,92,7.4,18.6,3.86,0.446,28.5,8.27,9.35,2.02,69.1,37.4,2.42,4.53,1.27,0.357,9.41,6.63,36.3,2.95,87.9,13.4,54.8,4.25
2008,12.9,5,> 100 000 PE,5.8,5.8,45.4,45.4,173,173,427,427,238,238,0.949,0.949,27,27,11.2,11.2,50.1,50.1,15.1,15.1,40,84,94,88,94,7.83,28.5,3.81,0.415,29.8,11.8,9.41,1.86,73.6,52.8,2.47,4.47,1.23,0.202,9.64,5.73,36.7,2.38,90.7,10.6,50.5,3.21
2009,12.9,5,> 100 000 PE,5.69,5.69,43.7,43.7,176,176,435,435,231,231,0.876,0.876,26.4,26.4,13.7,13.7,53.7,53.7,18.1,18.1,40,85,92,88,92,7.68,30.1,4.03,0.519,30.9,15.6,9.95,2.03,76.4,61.3,2.47,3.92,1.21,0.186,9.28,5.61,37.4,2.91,92.4,11.4,49.1,3.84
2010,12.9,5,> 100 000 PE,5.44,5.44,42.6,42.6,164,164,400,400,224,224,1.06,1.06,25.4,25.4,13.5,13.5,55.5,55.5,21.1,21.1,40,81,92,86,91,7.83,24,3.85,0.531,30.1,12.7,9.39,2.19,73.5,52.4,2.44,4.11,1.16,0.225,9.05,5.39,34.8,2.87,85,11.8,47.6,4.48
2011,12.9,5,> 100 000 PE,5.44,5.44,43.6,43.6,169,169,405,405,228,228,0.912,0.912,27,27,12.5,12.5,50.2,50.2,18.3,18.3,38,83,93,88,92,8.01,29.6,3.88,0.463,31.1,13.7,9.29,1.86,74.4,55,2.4,4.02,1.16,0.194,9.26,5.73,35.9,2.65,86,10.7,48.4,3.89
2012,12.9,5,> 100 000 PE,5.11,5.11,45.2,45.2,173,173,419,419,234,234,0.73,0.73,14.8,14.8,10.8,10.8,46.8,46.8,14.1,14.1,67,86,94,89,94,8.85,20.3,3.83,0.73,33.9,14.8,9.27,3.16,82,64.1,2.42,4.33,1.09,0.155,9.6,3.14,36.7,2.29,89,9.94,49.7,2.99
2013,12.9,5,> 100 000 PE,4.93,4.93,44.3,44.3,171,171,412,412,231,231,0.839,0.839,16.6,16.6,11.2,11.2,47.9,47.9,16.7,16.7,63,83,93,88,93,8.99,19.8,3.86,0.675,34.7,13.3,9.3,2.89,83.6,57.1,2.41,4.28,1.05,0.178,9.41,3.53,36.3,2.38,87.5,10.2,49.1,3.55
