sex,age_class,energy,carbohydrates,lipids,proteins,nitrogen,phosphorus,potassium
both,<1,574,74.3,22.4,15.5,2.49,0.376,0.814
both,1-3,1160,146,41.5,43.6,6.98,0.821,1.79
both,4-6,1530,190,56.8,55.8,8.93,0.969,2.18
both,7-10,1840,227,68.9,67.5,10.8,1.12,2.48
both,11-14,1980,245,72.6,75.3,12,1.21,2.68
both,15-17,1960,250,67.4,77.1,12.3,1.2,2.66
both,18-44,2120,243,78.9,80.4,12.9,1.24,2.96
both,45-64,2080,231,76.7,83.5,13.4,1.25,3.27
both,65-79,1930,213,70.3,78.4,12.5,1.16,3.11
F,<1,585,75.3,22.8,16.3,2.6,0.39,0.862
F,1-3,1130,140,41.7,43,6.89,0.81,1.72
F,4-6,1460,178,54.8,54.5,8.71,0.948,2.15
F,7-10,1740,213,65.5,64.2,10.3,1.06,2.33
F,11-14,1850,230,67.9,69.7,11.2,1.13,2.52
F,15-17,1720,221,59,65.9,10.5,1.05,2.4
F,18-44,1880,215,72.6,70.9,11.3,1.11,2.7
F,45-64,1810,202,68.2,74.5,11.9,1.12,2.99
F,65-79,1670,185,63,69.4,11.1,1.03,2.84
M,<1,566,73.6,22.1,15.1,2.41,0.366,0.783
M,1-3,1190,152,41.4,44.2,7.07,0.83,1.85
M,4-6,1600,202,58.6,57.1,9.13,0.989,2.2
M,7-10,1950,243,72.5,71,11.4,1.19,2.64
M,11-14,2090,258,76.7,80.1,12.8,1.28,2.82
M,15-17,2210,280,76,88.9,14.2,1.37,2.94
M,18-44,2450,282,88,93.8,15,1.41,3.32
M,45-64,2440,271,88.6,96.2,15.4,1.42,3.66
M,65-79,2280,251,80.3,90.5,14.5,1.32,3.47
